sentences,parts_of_speech
понятиями физики пользуются в любом разделе естествознания,существительное существительное глагол предлог местоимение существительное существительное
перед вами постепенно предстанет общая картина природы,предлог местоимение наречие глагол прилагательное существительное существительное
физика занимается изучением протекающих в природе явлений,существительное глагол существительное причастие предлог существительное существительное
люди придумывали разнообразные мифы о возникновении мира,существительное глагол прилагательное существительное предлог существительное существительное
человечество вступило на путь научного познания природы,существительное глагол предлог существительное прилагательное существительное существительное
люди приступили к экспериментированию с физическими явлениями,существительное глагол предлог существительное предлог прилагательное существительное
выработаны основы наиболее подходящих физических методов исследования,причастие существительное наречие прилагательное прилагательное существительное существительное
задачей науки стал поиск математически выражаемых законов,существительное существительное глагол существительное наречие причастие существительное
фундаментальные законы намного сложнее для обыденного восприятия,прилагательное существительное наречие прилагательное предлог прилагательное существительное
расширение привело к постепенному уменьшению температуры вещества,существительное глагол предлог прилагательное существительное существительное существительное
при дальнейшем уменьшении температуры образовались простые молекулы,предлог прилагательное существительное существительное глагол прилагательное существительное
квантовая механика впервые объяснила закономерности образования молекул,прилагательное существительное наречие глагол существительное существительное существительное
к числу фундаментальных теорий относится классическая механика,предлог существительное прилагательное существительное глагол прилагательное существительное
научные факты устанавливаются в результате планомерных наблюдений,прилагательное существительное глагол предлог существительное прилагательное существительное
необходимо найти количественные характеристики отдельных сторон явления,наречие глагол прилагательное существительное прилагательное существительное существительное
надо установить количественные зависимости между отдельными величинами,наречие глагол прилагательное существительное предлог прилагательное существительное
с помощью несложных вычислений требуется найти ответ,предлог существительное прилагательное существительное глагол глагол существительное
от непосредственного наблюдения переходят к физическому эксперименту,предлог прилагательное существительное глагол предлог прилагательное существительное
на основе выявленных закономерностей создают теорию явлений,предлог существительное причастие существительное глагол существительное существительное
теория является результатом размышлений и творческого воображения,существительное глагол существительное существительное союз прилагательное существительное
наука дает правильное понимание проблемы в целом,существительное глагол прилагательное существительное существительное предлог существительное
упрощенная модель применяется для описания конкретного явления,причастие существительное глагол предлог существительное прилагательное существительное
период колебаний определяется длиной проволоки и ускорением,существительное существительное глагол существительное существительное союз существительное
давление на стенки сосуда обусловлено этими соударениями,существительное предлог существительное существительное глагол местоимение существительное
оптические свойства такая модель объяснить не может,прилагательное существительное местоимение существительное глагол частица глагол
механическое движение почти всегда сопровождается тепловыми явлениями,прилагательное существительное наречие наречие глагол прилагательное существительное
в результате получается очень упрощенная схема явлений,предлог существительное глагол наречие причастие существительное существительное
постепенно уточняются значение и роль отдельных процессов,наречие глагол существительное союз существительное прилагательное существительное
основные законы физики формулируются на математическом языке,прилагательное существительное существительное глагол предлог прилагательное существительное
полученную информацию не может охватить индивидуальное сознание,причастие существительное частица глагол глагол прилагательное существительное
любые изменения в природе подчиняются определенным законам,местоимение существительное предлог существительное глагол прилагательное существительное
для микроскопических частиц справедливы законы квантовой механики,предлог прилагательное существительное прилагательное существительное прилагательное существительное
мы можем выбрать начало отсчета расстояний произвольно,местоимение глагол глагол существительное существительное существительное наречие
нам необходимо обозначить на прямой положительное направление,местоимение наречие глагол предлог существительное прилагательное существительное
с телом отсчета обычно связывают систему координат,предлог существительное существительное наречие глагол существительное существительное
